Nome_Formatado
"I;2.9;2.5;2.7;reprovado, Juliana Moura;cálculo"
"I;6.6;3.7;5.2;reprovado, Juliana Moura;física"
"Moura;algoritmos;8.9;4.6;6.8;reprovado, Juliana"
"Dados;3.4;5.0;4.2;reprovado, Juliana Moura;banco De"
"Software;6.1;9.0;7.5;aprovado, Juliana Moura;engenharia De"
"I;7.5;0.3;3.9;reprovado, Juliana Moura;cálculo"
"I;5.0;5.0;5.0;reprovado, Juliana Moura;física"
"Moura;algoritmos;2.7;0.4;1.6;reprovado, Juliana"
"Dados;6.5;1.7;4.1;reprovado, Juliana Moura;banco De"
"Software;3.4;9.2;6.3;reprovado, Juliana Moura;engenharia De"
"I;4.0;8.3;6.2;reprovado, Ana Paula;cálculo"
"I;1.8;6.9;4.4;reprovado, Ana Paula;física"
"Paula;algoritmos;0.5;9.2;4.8;reprovado, Ana"
"Dados;8.2;6.9;7.5;aprovado, Ana Paula;banco De"
"Software;8.4;7.5;8.0;aprovado, Ana Paula;engenharia De"
"I;1.1;0.6;0.9;reprovado, Rafael Pereira;cálculo"
"I;0.4;1.3;0.9;reprovado, Rafael Pereira;física"
"Pereira;algoritmos;7.7;1.6;4.7;reprovado, Rafael"
"Dados;5.6;2.6;4.1;reprovado, Rafael Pereira;banco De"
"Software;6.0;8.0;7.0;aprovado, Rafael Pereira;engenharia De"
"I;0.1;6.9;3.5;reprovado, Ana Paula;cálculo"
"I;4.9;6.4;5.7;reprovado, Ana Paula;física"
"Paula;algoritmos;7.0;4.6;5.8;reprovado, Ana"
"Dados;1.9;5.9;3.9;reprovado, Ana Paula;banco De"
"Software;2.1;2.8;2.5;reprovado, Ana Paula;engenharia De"
"I;8.7;5.8;7.2;aprovado, Carlos Eduardo;cálculo"
"I;8.7;9.5;9.1;aprovado, Carlos Eduardo;física"
"Eduardo;algoritmos;1.0;8.6;4.8;reprovado, Carlos"
"Dados;4.2;8.5;6.3;reprovado, Carlos Eduardo;banco De"
"Software;9.4;8.8;9.1;aprovado, Carlos Eduardo;engenharia De"
"I;0.7;0.7;0.7;reprovado, Luiz Henrique;cálculo"
"I;7.4;3.0;5.2;reprovado, Luiz Henrique;física"
"Henrique;algoritmos;1.0;3.9;2.5;reprovado, Luiz"
"Dados;2.6;7.8;5.2;reprovado, Luiz Henrique;banco De"
"Software;6.3;3.9;5.1;reprovado, Luiz Henrique;engenharia De"
"I;3.9;4.1;4.0;reprovado, Luiz Henrique;cálculo"
"I;1.1;2.5;1.8;reprovado, Luiz Henrique;física"
"Henrique;algoritmos;0.1;5.8;2.9;reprovado, Luiz"
"Dados;1.6;0.6;1.1;reprovado, Luiz Henrique;banco De"
"Software;0.4;5.6;3.0;reprovado, Luiz Henrique;engenharia De"
"I;1.5;0.1;0.8;reprovado, Juliana Moura;cálculo"
"I;4.3;8.0;6.2;reprovado, Juliana Moura;física"
"Moura;algoritmos;1.9;6.2;4.0;reprovado, Juliana"
"Dados;7.7;6.2;7.0;aprovado, Juliana Moura;banco De"
"Software;2.6;0.5;1.6;reprovado, Juliana Moura;engenharia De"
"I;1.5;2.2;1.9;reprovado, João Da Silva;cálculo"
